n_estimators,accuracy,f1_score,recall,roc_auc,,,accuracy,f1_score,recall,roc_auc
1,0.95 ,0.749445676,0.734782609,0.816375692,,Average,0.982577107,0.908504851,0.865619565,0.987815697
2,0.947002606,0.700980392,0.62173913,0.91743537,,Max,0.984361425,0.917808219,0.882608696,0.989745258
3,0.966116421,0.825112108,0.80 ,0.953366837,,Min,0.947002606,0.700980392,0.62173913,0.816375692
4,0.968288445,0.83062645,0.77826087,0.964061189,,Std Dev,0.003211294,0.017040376,0.016867981,0.009820476
5,0.971763684,0.851258581,0.808695652,0.968007176,,,,,,
6,0.969591659,0.839449541,0.795652174,0.971950017,,,,,,
7,0.974804518,0.867579909,0.826086957,0.973224778,,,,,,
8,0.973066898,0.857142857,0.808695652,0.975053508,,,,,,
9,0.974804518,0.868778281,0.834782609,0.976606304,,,,,,
10,0.974370113,0.865603645,0.826086957,0.979236612,,,,,,
11,0.976107732,0.875283447,0.839130435,0.979008939,,,,,,
12,0.976107732,0.875846501,0.843478261,0.978303886,,,,,,
13,0.978279757,0.887892377,0.860869565,0.97773208,,,,,,
14,0.976107732,0.876404494,0.847826087,0.98030888,,,,,,
15,0.977410947,0.883928571,0.860869565,0.980602652,,,,,,
16,0.976542137,0.878923767,0.852173913,0.980702325,,,,,,
17,0.977845352,0.886414254,0.865217391,0.983716636,,,,,,
18,0.976976542,0.881959911,0.860869565,0.984009359,,,,,,
19,0.977410947,0.884955752,0.869565217,0.986057369,,,,,,
20,0.976976542,0.88248337,0.865217391,0.985770942,,,,,,
21,0.977410947,0.885462555,0.873913043,0.985675466,,,,,,
22,0.976107732,0.87804878,0.860869565,0.985436251,,,,,,
23,0.977410947,0.884955752,0.869565217,0.985439399,,,,,,
24,0.978279757,0.889380531,0.873913043,0.985815008,,,,,,
25,0.978279757,0.888888889,0.869565217,0.985968189,,,,,,
26,0.980451781,0.898876404,0.869565217,0.985891598,,,,,,
27,0.979148566,0.892857143,0.869565217,0.986594553,,,,,,
28,0.980451781,0.899328859,0.873913043,0.98672675,,,,,,
29,0.979582971,0.894854586,0.869565217,0.98664911,,,,,,
30,0.980017376,0.897321429,0.873913043,0.986665897,,,,,,
31,0.980451781,0.899328859,0.873913043,0.986653307,,,,,,
32,0.981320591,0.903370787,0.873913043,0.987724526,,,,,,
33,0.982189401,0.907865169,0.87826087,0.987787477,,,,,,
34,0.981754996,0.905405405,0.873913043,0.987804264,,,,,,
35,0.982189401,0.907865169,0.87826087,0.987740264,,,,,,
36,0.982189401,0.908277405,0.882608696,0.98773187,,,,,,
37,0.982623805,0.910313901,0.882608696,0.987587082,,,,,,
38,0.982623805,0.910313901,0.882608696,0.987417114,,,,,,
39,0.982623805,0.910313901,0.882608696,0.987628001,,,,,,
40,0.98305821,0.912359551,0.882608696,0.987568197,,,,,,
41,0.982189401,0.907865169,0.87826087,0.98734472,,,,,,
42,0.982623805,0.90990991,0.87826087,0.987745509,,,,,,
43,0.981754996,0.904977376,0.869565217,0.98757764,,,,,,
44,0.981754996,0.904977376,0.869565217,0.987502098,,,,,,
45,0.982189401,0.907029478,0.869565217,0.98761541,,,,,,
46,0.982189401,0.90744921,0.873913043,0.987810559,,,,,,
47,0.982623805,0.909502262,0.873913043,0.987835739,,,,,,
48,0.982623805,0.909502262,0.873913043,0.9878861,,,,,,
49,0.981754996,0.905405405,0.873913043,0.988104331,,,,,,
50,0.981754996,0.905405405,0.873913043,0.988020396,,,,,,
51,0.982189401,0.90744921,0.873913043,0.98787351,,,,,,
52,0.981754996,0.905405405,0.873913043,0.98786092,,,,,,
53,0.981754996,0.905405405,0.873913043,0.987718231,,,,,,
54,0.982189401,0.90744921,0.873913043,0.987554558,,,,,,
55,0.982189401,0.90744921,0.873913043,0.987888199,,,,,,
56,0.982189401,0.90744921,0.873913043,0.98797633,,,,,,
57,0.982189401,0.90744921,0.873913043,0.988696072,,,,,,
58,0.981754996,0.905405405,0.873913043,0.988631022,,,,,,
59,0.981320591,0.902934537,0.869565217,0.988626826,,,,,,
60,0.982189401,0.90744921,0.873913043,0.988845056,,,,,,
61,0.982189401,0.90744921,0.873913043,0.988759023,,,,,,
62,0.981320591,0.902934537,0.869565217,0.988662498,,,,,,
63,0.982189401,0.907029478,0.869565217,0.988584858,,,,,,
64,0.981320591,0.902934537,0.869565217,0.988486235,,,,,,
65,0.980886186,0.900900901,0.869565217,0.988341447,,,,,,
66,0.980886186,0.900900901,0.869565217,0.988205053,,,,,,
67,0.981320591,0.902934537,0.869565217,0.988089642,,,,,,
68,0.981320591,0.902934537,0.869565217,0.988005708,,,,,,
69,0.982623805,0.909502262,0.873913043,0.987993117,,,,,,
70,0.981754996,0.905405405,0.873913043,0.988314168,,,,,,
71,0.982189401,0.90744921,0.873913043,0.988184069,,,,,,
72,0.981754996,0.904977376,0.869565217,0.988142102,,,,,,
73,0.981754996,0.904545455,0.865217391,0.988265906,,,,,,
74,0.981320591,0.902494331,0.865217391,0.988255414,,,,,,
75,0.981754996,0.904545455,0.865217391,0.988450562,,,,,,
76,0.982623805,0.909502262,0.873913043,0.988486235,,,,,,
77,0.981754996,0.904545455,0.865217391,0.988488333,,,,,,
