n_estimators,learning_rate,max_depth,num_leaves,val_auc
25,0.001,8,31,0.9881345041764832
25,0.001,8,50,0.9881345041764832
25,0.001,8,80,0.9881345041764832
25,0.001,10,31,0.9862989933604627
25,0.001,10,50,0.9864424930391946
25,0.001,10,80,0.9864424930391946
25,0.001,12,31,0.9845405868494326
25,0.001,12,50,0.9836067680445492
25,0.001,12,80,0.9835982008995502
50,0.001,8,31,0.9878239451702719
50,0.001,8,50,0.987823945170272
50,0.001,8,80,0.987823945170272
50,0.001,10,31,0.986071964017991
50,0.001,10,50,0.9858363675305205
50,0.001,10,80,0.9858363675305205
50,0.001,12,31,0.9844270721781967
50,0.001,12,50,0.9827843221246519
50,0.001,12,80,0.9827543371171557
75,0.001,8,31,0.9882073249089741
75,0.001,8,50,0.9882073249089741
75,0.001,8,80,0.9882073249089741
75,0.001,10,31,0.9863182694367103
75,0.001,10,50,0.9862540158492183
75,0.001,10,80,0.9862540158492183
75,0.001,12,31,0.984144356393232
75,0.001,12,50,0.9832448061683443
75,0.001,12,80,0.9832019704433497
100,0.001,8,31,0.988016705932748
100,0.001,8,50,0.9880167059327478
100,0.001,8,80,0.9880167059327478
100,0.001,10,31,0.9864210751766974
100,0.001,10,50,0.9864596273291926
100,0.001,10,80,0.9864596273291926
100,0.001,12,31,0.9838766331120155
100,0.001,12,50,0.9836217605482973
100,0.001,12,80,0.983591775540801
125,0.001,8,31,0.9881109445277361
125,0.001,8,50,0.9881109445277361
125,0.001,8,80,0.9881109445277361
125,0.001,10,31,0.9862840008567144
125,0.001,10,50,0.9864382094666951
125,0.001,10,80,0.9864382094666951
125,0.001,12,31,0.9838959091882631
125,0.001,12,50,0.9835660741058042
125,0.001,12,80,0.9835575069608054
150,0.001,8,31,0.987639751552795
150,0.001,8,50,0.987639751552795
150,0.001,8,80,0.987639751552795
150,0.001,10,31,0.9862711501392161
150,0.001,10,50,0.9862711501392161
150,0.001,10,80,0.9862711501392161
150,0.001,12,31,0.9840308417219962
150,0.001,12,50,0.9833304776183338
150,0.001,12,80,0.9832962090383379
175,0.001,8,31,0.9874876847290639
175,0.001,8,50,0.9874876847290639
175,0.001,8,80,0.9874876847290639
175,0.001,10,31,0.9862026129792246
175,0.001,10,50,0.9860912400942387
175,0.001,10,80,0.9860912400942387
175,0.001,12,31,0.9841143713857357
175,0.001,12,50,0.9832533733133433
175,0.001,12,80,0.9832490897408439
200,0.001,8,31,0.9873227671878347
200,0.001,8,50,0.9873184836153353
200,0.001,8,80,0.9873184836153353
200,0.001,10,31,0.9861490683229814
200,0.001,10,50,0.985823516813022
200,0.001,10,80,0.985823516813022
200,0.001,12,31,0.9845898479331762
200,0.001,12,50,0.9833390447633327
200,0.001,12,80,0.9833561790533305
225,0.001,8,31,0.9874020132790747
225,0.001,8,50,0.9874148639965731
225,0.001,8,80,0.9874148639965731
225,0.001,10,31,0.986063396872992
225,0.001,10,50,0.9859348896980081
225,0.001,10,80,0.9859348896980081
225,0.001,12,31,0.9847718997644035
225,0.001,12,50,0.9834075819233241
225,0.001,12,80,0.9834675519383165
250,0.001,8,31,0.9870828871278647
250,0.001,8,50,0.9870828871278646
250,0.001,8,80,0.9870828871278646
250,0.001,10,31,0.9862989933604627
250,0.001,10,50,0.9858363675305204
250,0.001,10,80,0.9858363675305206
250,0.001,12,31,0.9850717498393661
250,0.001,12,50,0.9831591347183551
250,0.001,12,80,0.9831891197258513
275,0.001,8,31,0.9867701863354037
275,0.001,8,50,0.9867744699079032
275,0.001,8,80,0.9867744699079032
275,0.001,10,31,0.9864617691154423
275,0.001,10,50,0.9859327479117584
275,0.001,10,80,0.9859327479117583
275,0.001,12,31,0.9846605268794174
275,0.001,12,50,0.983112015420861
275,0.001,12,80,0.9830991647033627
300,0.001,8,31,0.9867187834654102
300,0.001,8,50,0.9867273506104091
300,0.001,8,80,0.9867273506104091
300,0.001,10,31,0.9867637609766545
300,0.001,10,50,0.9861811951167274
300,0.001,10,80,0.9861811951167273
300,0.001,12,31,0.9845234525594346
300,0.001,12,50,0.9833261940458342
300,0.001,12,80,0.9833261940458342
325,0.001,8,31,0.9866566716641678
325,0.001,8,50,0.9866438209466695
325,0.001,8,80,0.9866438209466695
325,0.001,10,31,0.9870550439066181
325,0.001,10,50,0.9861940458342257
325,0.001,10,80,0.9861940458342257
325,0.001,12,31,0.9844077961019491
325,0.001,12,50,0.9834718355108161
325,0.001,12,80,0.9834289997858213
350,0.001,8,31,0.9872735061040908
350,0.001,8,50,0.9872949239665882
350,0.001,8,80,0.9872949239665882
350,0.001,10,31,0.9871449989291068
350,0.001,10,50,0.9861212251017348
350,0.001,10,80,0.9861212251017348
350,0.001,12,31,0.9848982651531377
350,0.001,12,50,0.9837931034482759
350,0.001,12,80,0.9837545512957807
