n_estimators,learning_rate,max_depth,num_leaves,val_auc
25,0.001,8,31,0.9833425302578818
25,0.001,8,50,0.9845638818379133
25,0.001,8,80,0.9845638818379133
25,0.001,10,31,0.9790162969502998
25,0.001,10,50,0.9821690026855019
25,0.001,10,80,0.9822499356215282
25,0.001,12,31,0.9808556818599861
25,0.001,12,50,0.9839973512857301
25,0.001,12,80,0.9839164183497039
50,0.001,8,31,0.981230916381562
50,0.001,8,50,0.9818379134017585
50,0.001,8,80,0.9818379134017585
50,0.001,10,31,0.9787734981422213
50,0.001,10,50,0.9807747489239598
50,0.001,10,80,0.9808041790825148
50,0.001,12,31,0.9802817937681638
50,0.001,12,50,0.982485376889968
50,0.001,12,80,0.9832836699407718
75,0.001,8,31,0.9819887429643528
75,0.001,8,50,0.9826104550638267
75,0.001,8,80,0.9826104550638267
75,0.001,10,31,0.9797152632159805
75,0.001,10,50,0.9817422653864547
75,0.001,10,80,0.9817496229260936
75,0.001,12,31,0.9800537100393629
75,0.001,12,50,0.9825663098259942
75,0.001,12,80,0.9833498877975205
100,0.001,8,31,0.981606150903138
100,0.001,8,50,0.9821469300665857
100,0.001,8,80,0.9821469300665857
100,0.001,10,31,0.979847698929478
100,0.001,10,50,0.9813081705477688
100,0.001,10,80,0.9813228856270463
100,0.001,12,31,0.9801125703564727
100,0.001,12,50,0.982110142368392
100,0.001,12,80,0.9828863628002796
125,0.001,8,31,0.9817606592355516
125,0.001,8,50,0.9822793657800832
125,0.001,8,80,0.9822793657800832
125,0.001,10,31,0.9797520509141743
125,0.001,10,50,0.9809476511054703
125,0.001,10,80,0.981013868962219
125,0.001,12,31,0.9799065592465879
125,0.001,12,50,0.9818305558621198
125,0.001,12,80,0.982672994150756
150,0.001,8,31,0.9817017989184416
150,0.001,8,50,0.9821174999080308
150,0.001,8,80,0.9821174999080308
150,0.001,10,31,0.9796931905970643
150,0.001,10,50,0.9809108634072766
150,0.001,10,80,0.9809476511054702
150,0.001,12,31,0.9803443328550933
150,0.001,12,50,0.9817128352278998
150,0.001,12,80,0.9826288489129237
175,0.001,8,31,0.9817533016959128
175,0.001,8,50,0.9822425780818893
175,0.001,8,80,0.9822425780818893
175,0.001,10,31,0.9796343302799544
175,0.001,10,50,0.9806459919802817
175,0.001,10,80,0.9806974947577531
175,0.001,12,31,0.9804068719420226
175,0.001,12,50,0.9818489497112165
175,0.001,12,80,0.9825258433579811
200,0.001,8,31,0.9807563550748629
200,0.001,8,50,0.9814516425707243
200,0.001,8,80,0.9814516425707243
200,0.001,10,31,0.9794356767097083
200,0.001,10,50,0.9804804473384101
200,0.001,10,80,0.9804215870213002
200,0.001,12,31,0.9805650590442556
200,0.001,12,50,0.9818415921715778
200,0.001,12,80,0.9825184858183422
225,0.001,8,31,0.9808005003126953
225,0.001,8,50,0.9813559945554207
225,0.001,8,80,0.9813559945554207
225,0.001,10,31,0.9791193025052423
225,0.001,10,50,0.9803259390059964
225,0.001,10,80,0.9800169223411691
225,0.001,12,31,0.9808372880108892
225,0.001,12,50,0.9818857374094103
225,0.001,12,80,0.982525843357981
250,0.001,8,31,0.9820144943530883
250,0.001,8,50,0.982544237207078
250,0.001,8,80,0.982544237207078
250,0.001,10,31,0.9791266600448809
250,0.001,10,50,0.9804215870213001
250,0.001,10,80,0.9800684251186403
250,0.001,12,31,0.9811536622153552
250,0.001,12,50,0.9821358937571277
250,0.001,12,80,0.982702424309311
275,0.001,8,31,0.9825589522863554
275,0.001,8,50,0.9831034102196224
275,0.001,8,80,0.9831034102196224
275,0.001,10,31,0.9790383695692161
275,0.001,10,50,0.9804914836478681
275,0.001,10,80,0.9804179082514807
275,0.001,12,31,0.9813523157856012
275,0.001,12,50,0.9823345473273738
275,0.001,12,80,0.9828054298642535
300,0.001,8,31,0.9830666225214288
300,0.001,8,50,0.9833094213295074
300,0.001,8,80,0.9833094213295074
300,0.001,10,31,0.9794136040907921
300,0.001,10,50,0.9816466173711511
300,0.001,10,80,0.9814994665783762
300,0.001,12,31,0.9819924217341721
300,0.001,12,50,0.9827539270867821
300,0.001,12,80,0.9832910274804105
325,0.001,8,31,0.9832799911709525
325,0.001,8,50,0.9834050693448111
325,0.001,8,80,0.9834050693448111
325,0.001,10,31,0.9795533973439281
325,0.001,10,50,0.9824191590332193
325,0.001,10,80,0.9822131479233345
325,0.001,12,31,0.9820144943530883
325,0.001,12,50,0.9825626310561748
325,0.001,12,80,0.9833793179560755
350,0.001,8,31,0.9834124268844499
350,0.001,8,50,0.9834712872015599
350,0.001,8,80,0.9834712872015599
350,0.001,10,31,0.9796784755177868
350,0.001,10,50,0.9824485891917742
350,0.001,10,80,0.9821910753044182
350,0.001,12,31,0.9824633042710517
350,0.001,12,50,0.9826656366111172
350,0.001,12,80,0.9834823235110179
375,0.001,8,31,0.9833977118051724
375,0.001,8,50,0.9833829967258948
375,0.001,8,80,0.9833829967258948
375,0.001,10,31,0.9797741235330906
375,0.001,10,50,0.9825773461354522
375,0.001,10,80,0.9825994187543685
375,0.001,12,31,0.982455946731413
375,0.001,12,50,0.9828054298642535
375,0.001,12,80,0.9835338262884892
400,0.001,8,31,0.9833682816466174
400,0.001,8,50,0.9833094213295074
400,0.001,8,80,0.9833094213295074
400,0.001,10,31,0.9798550564691169
400,0.001,10,50,0.9830629437516094
400,0.001,10,80,0.9831291616083582
400,0.001,12,31,0.9827061030791303
400,0.001,12,50,0.982989368355222
400,0.001,12,80,0.9836294743037929
25,0.0013,8,31,0.9817165139977191
25,0.0013,8,50,0.9837324798587352
25,0.0013,8,80,0.9837324798587352
25,0.0013,10,31,0.9790126181804804
25,0.0013,10,50,0.98223889931207
25,0.0013,10,80,0.982268329470625
25,0.0013,12,31,0.9808483243203473
25,0.0013,12,50,0.9840047088253687
25,0.0013,12,80,0.9839164183497039
50,0.0013,8,31,0.9805503439649781
50,0.0013,8,50,0.9812419526910201
50,0.0013,8,80,0.9812419526910201
50,0.0013,10,31,0.9788912187764413
50,0.0013,10,50,0.9811058382077034
50,0.0013,10,80,0.9812529890004782
50,0.0013,12,31,0.9824375528823162
50,0.0013,12,50,0.9826104550638266
50,0.0013,12,80,0.9833131000993268
75,0.0013,8,31,0.9817753743148292
75,0.0013,8,50,0.9824191590332193
75,0.0013,8,80,0.9824191590332193
75,0.0013,10,31,0.9797961961520069
75,0.0013,10,50,0.9818305558621196
75,0.0013,10,80,0.9818820586395909
75,0.0013,12,31,0.9810874443586064
75,0.0013,12,50,0.9828091086340728
75,0.0013,12,80,0.9833278151786042
100,0.0013,8,31,0.9808924695581798
100,0.0013,8,50,0.981705477688261
100,0.0013,8,80,0.981705477688261
100,0.0013,10,31,0.9795092521060956
100,0.0013,10,50,0.9812566677702975
100,0.0013,10,80,0.9812787403892139
100,0.0013,12,31,0.9807710701541404
100,0.0013,12,50,0.9820144943530883
100,0.0013,12,80,0.9826950667696722
125,0.0013,8,31,0.9810984806680646
125,0.0013,8,50,0.9818894161792296
125,0.0013,8,80,0.9818894161792296
125,0.0013,10,31,0.9792885259169333
125,0.0013,10,50,0.9807931427730565
125,0.0013,10,80,0.9808740757090829
125,0.0013,12,31,0.9804583747194938
125,0.0013,12,50,0.9819298826472428
125,0.0013,12,80,0.9825736673656329
150,0.0013,8,31,0.9809954751131221
150,0.0013,8,50,0.9819777066548946
150,0.0013,8,80,0.9819777066548946
150,0.0013,10,31,0.9790530846484935
150,0.0013,10,50,0.9808078578523342
150,0.0013,10,80,0.980866718169444
150,0.0013,12,31,0.9810322628113158
150,0.0013,12,50,0.9820917485192951
150,0.0013,12,80,0.9829121141890151
175,0.0013,8,31,0.9811279108266195
175,0.0013,8,50,0.9821690026855019
175,0.0013,8,80,0.9821690026855019
175,0.0013,10,31,0.9788728249273443
175,0.0013,10,50,0.9806055255122686
175,0.0013,10,80,0.9806717433690175
175,0.0013,12,31,0.9810874443586065
175,0.0013,12,50,0.9820181731229077
175,0.0013,12,80,0.9829672957363057
200,0.0013,8,31,0.9824559467314129
200,0.0013,8,50,0.9828054298642535
200,0.0013,8,80,0.9828054298642535
200,0.0013,10,31,0.9789868667917448
200,0.0013,10,50,0.980943972335651
200,0.0013,10,80,0.9807158886068499
200,0.0013,12,31,0.9814994665783762
200,0.0013,12,50,0.9823198322480963
200,0.0013,12,80,0.982989368355222
225,0.0013,8,31,0.9826913879998528
225,0.0013,8,50,0.9827980723246146
225,0.0013,8,80,0.9827980723246146
225,0.0013,10,31,0.9789647941728286
225,0.0013,10,50,0.9809550086451091
225,0.0013,10,80,0.9804841261082293
225,0.0013,12,31,0.9816245447522348
225,0.0013,12,50,0.982437552882316
225,0.0013,12,80,0.9829672957363058
250,0.0013,8,31,0.9831070889894419
250,0.0013,8,50,0.98329470625023
250,0.0013,8,80,0.98329470625023
250,0.0013,10,31,0.9794798219475407
250,0.0013,10,50,0.9809329360261928
250,0.0013,10,80,0.9805061987271456
250,0.0013,12,31,0.9820476032814627
250,0.0013,12,50,0.9829452231173895
250,0.0013,12,80,0.9831806643858294
275,0.0013,8,31,0.9833572453371593
275,0.0013,8,50,0.9835375050583085
275,0.0013,8,80,0.9835375050583085
275,0.0013,10,31,0.9795975425817607
275,0.0013,10,50,0.9812345951513812
275,0.0013,10,80,0.9811610197549939
275,0.0013,12,31,0.9822609719309862
275,0.0013,12,50,0.9830335135930545
275,0.0013,12,80,0.9833204576389655
300,0.0013,8,31,0.9835485413677667
300,0.0013,8,50,0.9834786447411985
300,0.0013,8,80,0.9834786447411985
300,0.0013,10,31,0.9799323106353235
300,0.0013,10,50,0.9822646507008056
300,0.0013,10,80,0.9822720082404444
300,0.0013,12,31,0.9824927344296066
300,0.0013,12,50,0.9833351727182431
300,0.0013,12,80,0.9838134127947614
325,0.0013,8,31,0.9836257955339733
325,0.0013,8,50,0.9835007173601147
325,0.0013,8,80,0.9835007173601147
325,0.0013,10,31,0.9799911709524335
325,0.0013,10,50,0.9832174520840231
325,0.0013,10,80,0.9830850163705257
325,0.0013,12,31,0.9825000919692455
325,0.0013,12,50,0.9834013905749918
325,0.0013,12,80,0.984026781444285
350,0.0013,8,31,0.9836147592245154
350,0.0013,8,50,0.9835080748997534
350,0.0013,8,80,0.9835080748997534
350,0.0013,10,31,0.9802854725379833
