n_estimators,learning_rate,max_depth,num_leaves,val_auc
25,0.001,8,31,0.9879267509102592
25,0.001,8,50,0.9880681088027414
25,0.001,8,80,0.9880681088027414
25,0.001,10,31,0.9865881345041765
25,0.001,10,50,0.9857271364317841
25,0.001,10,80,0.9857485542942814
25,0.001,12,31,0.9819490254872565
25,0.001,12,50,0.9819040479760119
25,0.001,12,80,0.9820711073034911
50,0.001,8,31,0.9879267509102592
50,0.001,8,50,0.9879781537802527
50,0.001,8,80,0.9879781537802527
50,0.001,10,31,0.9868280145641466
50,0.001,10,50,0.984255729278218
50,0.001,10,80,0.984255729278218
50,0.001,12,31,0.9841379310344827
50,0.001,12,50,0.9815463696723066
50,0.001,12,80,0.9815849218248018
75,0.001,8,31,0.9879203255515099
75,0.001,8,50,0.9880359820089955
75,0.001,8,80,0.9880359820089955
75,0.001,10,31,0.987007924609124
75,0.001,10,50,0.9857549796530306
75,0.001,10,80,0.9857656885842793
75,0.001,12,31,0.9843135575069607
75,0.001,12,50,0.9827950310559006
75,0.001,12,80,0.982767187834654
100,0.001,8,31,0.9880359820089956
100,0.001,8,50,0.9880745341614907
100,0.001,8,80,0.9880745341614907
100,0.001,10,31,0.9869608053116299
100,0.001,10,50,0.9862518740629685
100,0.001,10,80,0.9862625829942172
100,0.001,12,31,0.9845191689869351
100,0.001,12,50,0.9833861640608268
100,0.001,12,80,0.9833711715570786
125,0.001,8,31,0.9878689226815165
125,0.001,8,50,0.9878903405440137
125,0.001,8,80,0.9878903405440137
125,0.001,10,31,0.9868837010066396
125,0.001,10,50,0.9862647247804669
125,0.001,10,80,0.9862711501392161
125,0.001,12,31,0.9844934675519383
125,0.001,12,50,0.9830563289783679
125,0.001,12,80,0.9830841721996145
150,0.001,8,31,0.9877875348040266
150,0.001,8,50,0.9878389376740201
150,0.001,8,80,0.9878389376740201
150,0.001,10,31,0.9864596273291926
150,0.001,10,50,0.9858149496680232
150,0.001,10,80,0.9858385093167701
150,0.001,12,31,0.9844891839794387
150,0.001,12,50,0.9828378667808952
150,0.001,12,80,0.9828914114371385
175,0.001,8,31,0.9878410794602699
175,0.001,8,50,0.9879139001927607
175,0.001,8,80,0.9879139001927607
175,0.001,10,31,0.9864382094666952
175,0.001,10,50,0.9858663525380167
175,0.001,10,80,0.985872777896766
175,0.001,12,31,0.984279288926965
175,0.001,12,50,0.9828143071321482
175,0.001,12,80,0.982848575712144
200,0.001,8,31,0.98775969158278
200,0.001,8,50,0.9878239451702719
200,0.001,8,80,0.9878239451702719
200,0.001,10,31,0.9866202612979225
200,0.001,10,50,0.9860741058042408
200,0.001,10,80,0.9860912400942385
200,0.001,12,31,0.9842642964232169
200,0.001,12,50,0.9828657100021417
200,0.001,12,80,0.9828657100021417
225,0.001,8,31,0.9876097665452988
225,0.001,8,50,0.9876740201327907
225,0.001,8,80,0.9876740201327907
225,0.001,10,31,0.9865688584279289
225,0.001,10,50,0.9860055686442493
225,0.001,10,80,0.9860098522167489
225,0.001,12,31,0.9842278860569716
225,0.001,12,50,0.9830370529021204
225,0.001,12,80,0.9830242021846219
250,0.001,8,31,0.9872156778753479
250,0.001,8,50,0.9872713643178411
250,0.001,8,80,0.9872713643178411
250,0.001,10,31,0.9864275005354466
250,0.001,10,50,0.9860869565217392
250,0.001,10,80,0.9860998072392375
250,0.001,12,31,0.9842535874919683
250,0.001,12,50,0.9829428143071323
250,0.001,12,80,0.9829428143071322
275,0.001,8,31,0.9873184836153353
275,0.001,8,50,0.9874127222103234
275,0.001,8,80,0.9874127222103234
275,0.001,10,31,0.9864874705504391
275,0.001,10,50,0.986039837224245
275,0.001,10,80,0.986056971514243
275,0.001,12,31,0.9842792889269651
275,0.001,12,50,0.9827629042621547
