n_estimators,learning_rate,max_depth,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,val_auc,best_n_estimators
300,0.22889664300838886,6,67,31,0.5691986641997921,0.7324087381212511,0.271580303502066,0.8165870385627798,0.992304562004712,16
234,0.08794161568758709,4,42,15,0.6841172911351167,0.7897209374875199,0.6843464644689708,0.0849667633277075,0.9919490254872563,68
327,0.20300674436302032,5,46,16,0.6332395074528493,0.6913015498043497,0.0019124447464867582,1.2853287555555875,0.9918826301135146,24
277,0.06793140760658323,5,23,19,0.7537595792430256,0.7407041376349249,0.0037301527203408066,1.0821520669707314,0.9917969586635254,67
320,0.025679988471609197,4,105,60,0.7399226956119558,0.7347434940796479,0.0012021628081455911,0.34278407873999417,0.9917262797172842,146
357,0.07245155891831837,5,49,11,0.6083798847319518,0.6922712072354696,1.5805275852971477,0.09256714445505902,0.9916170486185478,46
360,0.16763671163282212,7,53,23,0.6498601005146367,0.7626426458913125,1.106869732585806,6.321804687902886,0.991584921824802,30
214,0.04185164628825906,4,28,16,0.7000161397903902,0.6809733452565514,0.006690256456072659,0.25938783767949486,0.9915335189548082,87
314,0.17931854485372864,5,46,15,0.6573740647639897,0.692942059633426,0.0023007135767058183,1.4613643760675568,0.9915206682373099,29
207,0.06869671834209962,4,39,16,0.6904863873081103,0.6810929803003251,0.0071719473985358126,0.2676574607387827,0.9914992503748126,74
200,0.03481483952530362,4,28,16,0.6906382783188914,0.6814255598652516,0.007974394998494637,0.24654190382183014,0.9914778325123152,143
419,0.13983083737697094,6,150,12,0.756165400025059,0.8706105464444993,0.0005636267720766738,0.5078856659327249,0.9914307132148212,24
115,0.214843731240777,5,148,55,0.5235739953589247,0.7937629425016044,0.0002002146968564862,0.4067535983202664,0.9913900192760763,14
167,0.0693854974787512,4,34,28,0.6707259112015748,0.6704758290207056,0.0077659967525897395,0.06882704656724764,0.9913835939173271,70
311,0.09217498468482688,4,24,25,0.6630808272421272,0.724479861045598,0.003005604788846094,1.1081321699864328,0.9913493253373312,44
449,0.24244624826677427,7,63,11,0.6766980691634803,0.8138214726279749,0.07232089166539438,9.050657950692411,0.991336474619833,19
309,0.24407880185188896,6,65,15,0.6535276546210151,0.7787350608319898,0.22833856504931221,5.122140217059633,0.9913343328335832,12
203,0.03467084101028004,4,20,15,0.6866580756192111,0.6168679524021968,0.006975756448656088,0.22857459504497493,0.991319340329835,120
223,0.025871816095174294,4,42,21,0.6925008367658191,0.6520446839126599,0.013646220391700752,0.2691206552494748,0.9913064896123367,151
242,0.06139064683893338,4,103,14,0.6667361143262186,0.7023437989716528,0.0005351970343446976,0.7547414390930652,0.9912722210323409,97
337,0.04529380897750303,4,38,71,0.7973449279404845,0.7607566191657094,0.00047892754244615676,0.15579992366137707,0.9912657956735917,74
319,0.19212959255386391,5,45,14,0.6626651653816322,0.6943386448447411,0.002273762810253686,1.3921548533046495,0.9912143928035982,22
347,0.11182984507120147,6,150,41,0.5169635601110019,0.7174871271609646,0.0006226204491126322,0.05340099981204621,0.9911608481473551,27
299,0.09205958514870667,6,94,22,0.7424854810677135,0.5532819126765207,0.3348436449812169,0.8647818345891594,0.9911544227886058,32
254,0.04882921685152873,5,37,12,0.7022235284595214,0.727538346825611,0.012377398064060331,0.19689168255457976,0.9911544227886057,93
274,0.037831402146514,5,34,18,0.7525410481385076,0.7423703689726335,0.00372523217602855,1.7735313728950899,0.9911330049261085,101
443,0.1334898825770814,6,53,23,0.7045245624438554,0.8363300825773123,0.016804557754778834,8.727391584746576,0.9911265795673592,33
207,0.04558532452640928,4,28,17,0.7102850676900284,0.6831364877719364,0.023299017996243808,0.11675362034405092,0.9911137288498607,92
283,0.29392789019570714,7,56,31,0.5833611872173398,0.6664748192148424,4.387853176575685,0.7468804546791038,0.9911073034911115,12
364,0.13942910170540623,4,45,46,0.6362100838363054,0.6668605663947326,0.00027627363521836836,0.11075110165883584,0.9910901692011137,59
324,0.2977624719109032,5,142,57,0.5783793549020563,0.8482067308907724,0.004252264456546338,0.9568894020859232,0.9910880274148641,13
267,0.1695798356458869,5,144,47,0.7162911272000232,0.6518785272538042,1.0073043357575084,0.33690414078937836,0.9910837438423645,23
231,0.08429029689920706,4,45,98,0.6340377968810631,0.9591238075455744,0.7964871337469803,0.08976156734324696,0.9910816020561148,45
256,0.24689138584518802,6,68,31,0.7608744758541592,0.8993231319049658,0.001990997033134148,0.1425934203935184,0.9910601841936175,12
386,0.0792235831864793,5,84,18,0.7751106511200404,0.6292335359871184,0.00013879138621737767,0.11353002742024912,0.9910344827586207,48
413,0.18060213790136534,7,78,20,0.6669793083382874,0.806360844073342,0.0009730608512426267,3.834901291528955,0.9910152066823731,10
167,0.02147914410141053,4,31,16,0.6430018427444587,0.6367423348929119,0.004101481773386552,0.9587060931088646,0.9909895052473763,167
255,0.053220125525438325,4,30,23,0.775982065115733,0.7119772899818255,0.0017768698199388774,2.4618550080674653,0.9909895052473763,91
195,0.0587172032827736,4,25,23,0.6554432896960716,0.690171067247507,2.8382311949130985,0.039647391292217,0.9909830798886272,88
424,0.0391715394814857,4,67,12,0.6712579968688783,0.8097669715667996,0.07352836149311404,9.788134915336686,0.9909723709573784,108
362,0.14788333934693898,5,27,56,0.7297245707379683,0.9845075346910008,0.001145683784752353,0.01802212390891306,0.9909059755836367,31
237,0.04006296988646145,5,40,19,0.7236602201322563,0.7148423079222419,0.5272237310336602,0.14980167501465538,0.9909016920111373,92
