n_estimators,max_features,train_ratio,val_ratio,test_ratio,train_auc,train_logloss,train_accuracy,train_precision,train_recall,train_f1,val_auc,val_logloss,val_accuracy,val_precision,val_recall,val_f1,test_auc,test_logloss,test_accuracy,test_precision,test_recall,test_f1
10,sqrt,0.6,0.2,0.2,0.9754378324177276,0.24943247752563655,0.9575,0.8598326359832636,0.6861435726210351,0.7632311977715878,0.4807,0.6574864219281541,0.883,0.16,0.04,0.064,0.5318236111111111,0.5861222386860938,0.8705,0.10666666666666667,0.04,0.05818181818181818
10,sqrt,0.7,0.15,0.15,0.9763557979193074,0.24927164436455795,0.958,0.870201096892139,0.6809728183118741,0.7640449438202247,0.5172691358024691,0.5568719703330509,0.878,0.11627906976744186,0.03333333333333333,0.05181347150259067,0.46220000000000006,0.6371600791285046,0.876,0.16666666666666666,0.06,0.08823529411764706
10,sqrt,0.7,0.2,0.1,0.9757361991052979,0.24505968843525094,0.9582797542506072,0.8666666666666667,0.6881258941344778,0.7671451355661882,0.5090491393670183,0.582500205829102,0.8725637181409296,0.04918032786885246,0.015,0.022988505747126436,0.5011944444444444,0.7343593965790078,0.872,0.0625,0.02,0.030303030303030304
10,sqrt,0.8,0.1,0.1,0.9744092441941316,0.25261988585319584,0.9538692336542067,0.8423566878980892,0.6620775969962454,0.7414155571128241,0.5278801331853497,0.5987958980376743,0.8731268731268731,0.034482758620689655,0.01,0.015503875968992248,0.5180500000000001,0.5711156524728963,0.875,0.037037037037037035,0.01,0.015748031496062992
10,sqrt,0.5,0.2,0.3,0.9722997105321755,0.24610506345228583,0.9537907581516303,0.8401015228426396,0.6633266533066132,0.7413213885778276,0.4700027762354248,0.7101501605912434,0.872063968015992,0.12162162162162163,0.045,0.06569343065693431,0.5073586419753087,0.6373705912422928,0.8733333333333333,0.12962962962962962,0.04666666666666667,0.06862745098039216
10,sqrt,0.5,0.3,0.2,0.9722611185490287,0.24681178007639581,0.9498,0.8229166666666666,0.6332665330661322,0.7157417893544734,0.5001753086419753,0.5483086629289048,0.872,0.09615384615384616,0.03333333333333333,0.04950495049504951,0.5110611111111111,0.6333840487767932,0.875,0.109375,0.035,0.05303030303030303
10,log2,0.6,0.2,0.2,0.9754378324177276,0.24943247752563655,0.9575,0.8598326359832636,0.6861435726210351,0.7632311977715878,0.4806986111111111,0.657486421928154,0.883,0.16,0.04,0.064,0.5318236111111111,0.5861222386860938,0.8705,0.10666666666666667,0.04,0.05818181818181818
10,log2,0.7,0.15,0.15,0.976355911442174,0.24927164436455795,0.958,0.870201096892139,0.6809728183118741,0.7640449438202247,0.5172691358024691,0.5568719703330509,0.878,0.11627906976744186,0.03333333333333333,0.05181347150259067,0.46220000000000006,0.6371600791285046,0.876,0.16666666666666666,0.06,0.08823529411764706
10,log2,0.7,0.2,0.1,0.975736199105298,0.24505968843525094,0.9582797542506072,0.8666666666666667,0.6881258941344778,0.7671451355661882,0.5090491393670183,0.582500205829102,0.8725637181409296,0.04918032786885246,0.015,0.022988505747126436,0.5011944444444444,0.7343593965790078,0.872,0.0625,0.02,0.030303030303030304
10,log2,0.8,0.1,0.1,0.9744092441941316,0.25261988585319584,0.9538692336542067,0.8423566878980892,0.6620775969962454,0.7414155571128241,0.5278801331853497,0.5987958980376743,0.8731268731268731,0.034482758620689655,0.01,0.015503875968992248,0.5180555555555556,0.5711156524728963,0.875,0.037037037037037035,0.01,0.015748031496062992
